Team,Year,Player,GP,MIN,PPG,RPG,APG,SPG,BPG,TPG,FG%,FT%,3P%,Position,Drafted,Height,Weight,stdyearposppg,stdyearposrpg,stdyearposapg,stdyearposspg,stdyearposbpg,stdyearpostpg,stdyearposfg,stdyearposft,stdyearpos3p,stdyearpossum
Marquette,2012,Jamil Wilson,34,24.1,7.1,4.1,1.1,0.7,1.4,1.1,0.448,0.707,0.345,F,N,79,230,-0.558558178,-0.558558178,0.85895569,0.866025404,0.740612897,-0.855527738,-0.575607876,-0.275952796,0.52317254,1.875617242
Marquette,2012,Jamil Wilson,34,24.1,7.1,4.1,1.1,0.7,1.4,1.1,0.448,0.707,0.345,F,N,79,230,-0.558558178,-0.558558178,0.85895569,0.866025404,0.740612897,-0.855527738,-0.575607876,-0.275952796,0.52317254,1.875617242
North Carolina,2012,John Henson,35,29.1,13.7,9.9,1.3,0.6,2.9,1.3,0.5,0.511,0,C,Y,83,230,0.739702786,1.065071433,1.203882735,-0.913290351,0.337668877,-0.872765003,-1.446387768,-1.230923837,,1.859412715
Louisville,2014,Stephan Van Treese,37,21.6,2.9,5.7,0.7,1,0.8,0.6,0.638,0.586,0.5,F,N,77,245,-1.62383507,-0.312686838,-0.873862898,0.953357378,0.540777513,-1.503484325,1.229929471,-0.939997229,1.32446753,1.801634183
Michigan,2014,Nik Stauskas,36,35.6,17.5,2.9,3.3,0.6,0.3,1.9,0.47,0.824,0.442,SG,Y,78,205,0.943252201,-1.005837761,1.40679742,-0.724431907,-0.561769006,1.491287438,0.865084306,0.85352955,1.48439546,1.769732825
New Mexico,2013,Kendall Williams,34,34.4,13.3,3.5,4.9,1.1,0.1,2.1,0.406,0.765,0.348,G,N,76,180,1.378031529,0.249922513,1.581873768,0.107321451,-0.466951152,0.899077941,-0.452891837,0.489446158,-0.225752211,1.76192228
New Mexico,2013,Kendall Williams,34,34.4,13.3,3.5,4.9,1.1,0.1,2.1,0.406,0.765,0.348,G,N,76,180,1.378031529,0.249922513,1.581873768,0.107321451,-0.466951152,0.899077941,-0.452891837,0.489446158,-0.225752211,1.76192228
Virginia,2015,Justin Anderson,26,27.8,12.2,4,1.7,0.7,0.5,1.2,0.466,0.78,0.452,SG,Y,78,225,0.479550262,-0.210724876,0.376867331,-0.391311896,-0.053074489,-0.057259833,0.265468943,0.24839785,0.930068395,1.702501355
Duke,2012,Seth Curry,34,30.2,13.2,2.6,2.4,1.3,0.2,2,0.42,0.873,0.383,SG,N,74,185,0.091047045,-0.524687248,0.503418137,0.765796843,0.526640075,0.413518151,-0.716631442,1.38006351,0.056718477,1.668847246
North Carolina,2012,Tyler Zeller,38,28.2,16.3,9.6,0.9,0.9,1.5,1.9,0.553,0.808,0,C,Y,84,253,1.226758227,0.934324733,-0.232473907,1.328422328,-0.840420315,0.563940463,-0.190079707,1.052343158,,1.662590896
Kansas,2011,Markieff Morris,38,24.4,13.6,8.3,1.4,0.8,1.1,2.1,0.589,0.673,0.424,PF,Y,82,245,0.388894745,0.280770948,-0.048269908,-0.124333974,-0.345663426,0.922085433,0.817191768,0.220910243,1.32664437,1.594059332
Michigan State,2012,Austin Thornton,37,21.8,5.2,3.3,1.1,0.6,0.1,0.7,0.474,0.871,0.477,G,N,77,205,-1.045623021,0.306062382,-1.014111778,-1.498974694,-0.500105697,-1.548467941,0.777183054,1.358737378,1.554943436,1.486579
Villanova,2014,JayVaughn Pinkston,34,27.1,14.1,6.1,1.4,0.9,0.6,1.7,0.521,0.744,0.258,F,N,79,235,0.774039029,-0.011580994,0,0.553562348,-0.128756551,0.334107628,-0.233859829,0.920074359,-0.068171123,1.471199612
BYU,2011,Jimmer Fredette,37,35.8,28.9,3.4,4.3,1.3,0,3.5,0.452,0.894,0.396,PG,Y,74,195,1.915663186,0.086374736,0.086584653,0.061418978,-1.16105091,1.707794342,0.243273218,1.588862339,0.346845106,1.460176964
Georgetown,2013,Markel Starks,32,34.1,12.8,1.8,3,1.3,0.1,2,0.457,0.731,0.417,G,N,73,175,1.212185284,-1.582842584,0.147550048,0.697589432,-0.466951152,0.727080422,0.833550292,-0.0079801,1.324889674,1.430910473
Kansas,2011,Marcus Morris,38,28.3,17.2,7.6,1.6,0.8,0.6,1.8,0.57,0.688,0.342,PF,Y,81,235,1.240258918,-0.095581599,0.386159261,-0.124333974,-1.260654848,0.356260281,0.447509777,0.373848103,0.778149387,1.389094743
Virginia,2015,Anthony Gill,34,25.3,11.6,6.5,0.9,0.9,0.5,1.1,0.582,0.677,0,F,N,80,230,0.313213628,0.425489624,-0.420595512,1.12581147,-0.562885243,-0.780395821,0.544752556,-0.069711574,-0.823136797,1.313333974
Ohio State,2013,Sam Thompson,37,25.1,7.8,3.5,1,0.7,0.8,0.9,0.498,0.703,0.404,F,N,79,200,-0.478605184,-1.036839698,-0.896055597,-1.122497216,0.58434871,-1.482056815,-0.056600359,1.363110966,1.466066465,1.304984903
Connecticut,2011,Jeremy Lamb,41,27.8,11.1,4.5,1.6,0.9,0.6,1.3,0.487,0.797,0.368,SG,Y,77,185,0.089081123,0.303398718,-0.18785118,-0.130984208,0.270030862,0.028908841,0.930024172,0.65539481,-0.630531632,1.269653825
Kansas,2012,Elijah Johnson,39,32.2,10.2,3.2,3.5,1.4,0.1,1.8,0.43,0.696,0.338,G,N,76,195,0.412153054,0.202472037,0.707595678,1.193061491,-0.500105697,0.325178268,-0.045916723,-0.506196278,0.09679654,1.234681835
Michigan State,2014,Branden Dawson,28,28.3,11.2,8.3,1.6,1.3,0.9,1.3,0.613,0.656,0,SF,N,79,220,-0.880778699,1.035974427,0.138568499,0.903696114,-0.067115606,-1.131825238,1.967309147,-1.197757475,-1.804194936,1.22752671
Kentucky,2015,Willie Cauley-Stein,39,25.9,8.9,6.4,1,1.2,1.7,1.2,0.572,0.617,0,C,Y,84,240,-0.852731603,-0.305352408,-0.355502892,1.685499656,0.484726056,-0.970494959,-0.422830911,-0.277978581,-0.706202584,1.204302857
Marquette,2012,Darius Johnson-Odom,34,32.9,18.3,3.5,2.7,0.9,0.1,2.4,0.447,0.764,0.385,SG,Y,74,215,1.471517101,0.341046711,0.908608345,-0.225234366,-0.438866729,0.982105609,0.046234287,-0.012778366,0.085077716,1.19349909
Marquette,2012,Darius Johnson-Odom,34,32.9,18.3,3.5,2.7,0.9,0.1,2.4,0.447,0.764,0.385,SG,Y,74,215,1.471517101,0.341046711,0.908608345,-0.225234366,-0.438866729,0.982105609,0.046234287,-0.012778366,0.085077716,1.19349909
Florida,2014,Casey Prather,37,27.9,13.8,5,1.6,1,0.5,2.2,0.603,0.679,0.4,F,N,78,212,0.709810259,-0.839622065,0.249675114,0.953357378,-0.463523582,1.169376697,0.792043783,0.154855035,0.748997012,1.136216236
Kentucky,2012,Doron Lamb,40,31.2,13.7,2.7,1.5,0.5,0.1,1.1,0.474,0.826,0.466,SG,Y,76,200,0.226387246,-0.428494586,-0.712152486,-1.216265575,-0.438866729,-0.865803629,0.809100015,0.779480316,1.233626885,1.118618714
Indiana,2013,Jordan Hulls,36,28.8,9.7,2.3,3,0.8,0,1.2,0.444,0.776,0.444,G,N,72,182,0.183938563,-1.043794026,0.147550048,-0.778080521,-1.151812841,-0.648899731,0.505633671,0.650378183,1.931662585,1.094375394
Kentucky,2011,Josh Harrellson,38,28.5,7.6,8.7,0.8,0.9,1.5,0.7,0.611,0.589,0.2,PF,Y,82,275,-1.030045542,0.495829546,-1.351557413,0.435168911,0.386329712,-1.718431943,1.245244598,-0.635541775,-0.171683389,1.092176591
Iowa State,2015,Bryce Dejean-Jones,33,23,10.5,4.7,2.1,1.1,0.3,1.5,0.476,0.722,0.329,G,N,78,210,0.419926278,1.844747208,-0.467878559,0.191550084,0.4608039,0.385362029,0.766375759,-0.629710969,-1.146429029,1.054022643
Gonzaga,2013,Elias Harris,34,27.8,14.6,7.4,1.6,1.2,0.6,1.8,0.501,0.768,0.17,SF,N,80,239,0.222639244,0.944702645,-0.398691633,0.312505044,0,0.049068367,0.914393968,-0.050176542,-0.851327289,1.04497707
Kentucky,2011,Darius Miller,38,31,10.9,4.6,1.7,0.8,1.1,1.5,0.478,0.853,0.443,SF,N,80,225,-0.779319367,-1.276448308,0.11672816,-0.102062073,0.176349833,-0.396664414,0.690787622,0.786402607,0.984399476,0.993502364
Arizona,2014,T.J. McConnell,38,32.2,8.4,3.6,5.3,1.7,0.2,1.8,0.454,0.62,0.36,G,N,73,195,-0.377165977,0.220952175,1.62981235,1.289003007,0.114894268,0.756679622,0.769525476,-1.601711433,-0.302283504,0.986346739
Duke,2011,Nolan Smith,37,34,20.6,4.5,5.1,1.2,0.1,3.2,0.458,0.813,0.35,PG,Y,74,185,0.807005119,1.122871571,0.842232532,-0.184256933,-0.464420364,1.207952095,0.375967701,0.425929964,-0.799612968,0.917764526
Michigan State,2013,Derrick Nix,36,27.6,9.9,6.6,1.6,1.1,0.1,1.5,0.506,0.69,0,F,N,81,270,0.593470428,0.773978929,0.104192511,0.374165739,-1.460871774,-0.139816681,0.082723601,1.109961787,-0.801075552,0.916362349
Duke,2013,Seth Curry,35,32.3,17.5,2.5,1.5,0.9,0.2,1.2,0.465,0.809,0.438,SG,N,74,185,1.573581039,-0.999025376,-0.337861843,-0.327737661,-0.455671162,-0.401104558,-0.249611807,0.424469013,0.8823453,0.911592062
Iowa State,2015,Georges Niang,34,30.7,15.3,5.4,3.4,0.5,0.5,2.7,0.461,0.808,0.4,F,N,80,230,1.311301074,-0.461320329,2.447101161,-1.007305,-0.562885243,2.256820347,-1.016393585,1.288799933,1.157673677,0.900151341
Gonzaga,2013,Kelly Olynyk,32,26.4,17.8,7.3,1.7,0.7,1.1,2.4,0.629,0.776,0.3,C,Y,84,238,1.54703729,-0.892035895,0.998066564,0.093658581,-0.824336219,1.355815361,1.283007142,1.61355219,-0.073059185,0.849582101
Duke,2013,Rasheed Sulaimon,36,29.2,11.6,3.4,1.9,0.8,0.1,1.3,0.424,0.802,0.371,G,N,77,195,0.814154295,0.142112802,-0.682847896,-0.778080521,-0.466951152,-0.476902212,0.001146562,1.030762968,0.291128417,0.828327688
Kentucky,2011,Doron Lamb,38,28.4,12.3,2,1.6,0.6,0.2,1.3,0.497,0.79,0.486,SG,N,76,200,0.405814007,-0.934963396,-0.18785118,-0.916889456,-0.810092587,0.028908841,1.183955687,0.555931099,1.510554197,0.777549528
Wisconsin,2015,Josh Gasser,40,33,6.6,3.5,1.8,0.8,0.2,0.5,0.443,0.827,0.389,G,N,75,190,-1.089228571,0.564879766,-0.689505245,-0.547285955,-0.161281365,-1.654789889,0.01268834,0.831197867,0.194520449,0.770775176
Iowa State,2014,Georges Niang,34,30.1,16.7,4.5,3.6,0.6,0.6,2.4,0.474,0.721,0.327,F,N,80,230,1.330688374,-1.216004371,2.746426249,-0.64582274,-0.128756551,1.503484325,-0.821877753,0.649304444,0.328903534,0.739376862
Ohio State,2011,Aaron Craft,37,29.6,6.9,2.9,4.8,2,0.1,2.1,0.461,0.727,0.377,PG,N,74,195,-1.022948558,-0.384760189,0.558864577,1.78115035,-0.464420364,-0.624802808,0.442314942,-0.808788359,-0.126691925,0.599523283
Georgetown,2013,Nate Lubick,32,29.6,7.1,5.4,2.8,0.7,0.8,2.1,0.591,0.645,0,F,N,80,219,-0.835963721,0.07301688,2.104688728,-1.122497216,0.58434871,1.202423454,1.563040673,0.233676166,-0.801075552,0.596811214
Gonzaga,2015,Byron Wesley,38,26.7,10.6,4.7,2.3,1,0.3,1.6,0.514,0.671,0.313,G,N,76,206,0.458622556,1.844747208,-0.320127435,-0.054728596,0.4608039,0.589377221,1.634258242,-1.339295261,-1.504015556,0.590887837
Duke,2014,Quinn Cook,35,29.8,11.6,2.2,4.4,1.3,0,1.6,0.432,0.827,0.371,G,N,74,185,0.606539643,-0.72524302,0.972267367,0.38321711,-1.080006117,0.392352397,0.074156483,0.82999828,-0.117159131,0.551418219
Arizona,2015,Stanley Johnson,38,28.4,13.8,6.5,1.7,1.5,0.4,2.2,0.446,0.742,0.371,SF,Y,69,245,0.599326579,0.762593238,0.442664,0.575153621,-0.415900196,1.553797192,-0.645618989,0.209046927,0.556927747,0.530395736
Wisconsin,2015,Sam Dekker,40,31,13.9,5.5,1.2,0.5,0.5,0.9,0.525,0.708,0.331,SF,Y,81,230,0.645428624,0.081706418,-0.563390546,-1.478966454,0.103975049,-1.035864795,1.362408575,-0.702183268,0.002770785,0.487613979
Kansas,2014,Andrew Wiggins,35,32.8,17.1,5.9,1.5,1.2,1,2.3,0.448,0.775,0.341,SF,Y,80,199,0.678199598,-0.239071022,-0.0277137,0.516397779,0.335578028,0.865513417,-0.888462196,0.558297632,0.382643239,0.450355942
Ohio State,2013,Deshaun Thomas,37,35.4,19.8,5.9,1.3,0.5,0.3,1.4,0.445,0.834,0.344,SF,Y,79,215,1.723392664,0.215336632,-0.747546811,-1.07956288,-1.341640786,-1.324845913,-0.393790103,0.559864578,0.175322848,0.436222054
Ohio State,2012,Lenzelle Smith Jr.,39,25.4,6.8,4.6,2,0.9,0.1,1.2,0.473,0.626,0.378,G,N,76,210,-0.579134677,1.652736863,-0.368471482,-0.489461125,-0.500105697,-0.696810573,0.758476241,-1.25216974,0.516407158,0.435088114
Florida State,2012,Luke Loucks,35,27,7.1,3.3,4.3,1.2,0.3,2.5,0.398,0.708,0.344,G,N,77,201,-0.491668113,0.306062382,1.281498163,0.520052445,1.192559739,1.517498582,-0.644534743,-0.378315113,0.159738133,0.427894312
Louisville,2014,Chris Jones,33,25.6,10.2,2.3,2.9,2.2,0.1,1.4,0.395,0.772,0.377,G,N,70,175,0.176168434,-0.657657649,-0.123640937,2.421235378,-0.482555925,0.028025171,-1.095327731,0.183891834,-0.0161822,0.377906034
Kansas,2013,Kevin Young,36,22.8,7.8,6.8,1.2,1.1,0.6,1.3,0.562,0.596,0,F,N,80,190,-0.478605184,0.890805937,-0.562639561,0.374165739,0,-0.587230059,1.057991319,-0.720501511,-0.801075552,0.347371247
North Carolina,2011,John Henson,37,26.7,11.7,10.1,0.8,0.6,3.2,2.1,0.5,0.479,0.167,C,N,83,230,-0.040619741,1.468799005,0.118957738,-0.1,1.232299052,0.990867389,-1.410106731,-0.533254965,1.5,0.278461934
Notre Dame,2011,Tyrone Nash,34,28.8,9.5,5.9,2.6,0.3,0.6,1.6,0.487,0.689,0.5,F,N,80,232,-0.503000166,-0.029424494,1.642637464,-1.143725539,0,0.436223867,-0.111326068,-0.062654968,0.876246221,0.232528584
Arizona,2015,Rondae Hollis-Jefferson,38,28.7,11.2,6.8,1.6,1.2,0.8,1.6,0.502,0.707,0.207,SF,Y,79,220,-0.599326579,0.966859284,0.241453091,-0.041082402,1.663600784,0.358568583,0.777792955,-0.728984156,-1.715115799,0.206628596
Arizona,2014,Brandon Ashley,22,27.7,11.5,5.8,1,0.6,0.7,1.7,0.522,0.757,0.379,F,N,81,230,0.217389685,-0.237410377,-0.499350227,-0.64582274,0.206010481,0.334107628,-0.221348809,1.073118223,0.628148204,0.186626812
Arizona,2014,Aaron Gordon,38,31.2,12.4,8,2,0.9,1,1.4,0.495,0.422,0.356,PF,Y,81,220,-0.097248089,0.394439137,1.456804652,-0.144384575,-0.103975049,-0.501280412,-0.964658432,-1.105082876,0.231736811,0.168911991
Duke,2011,Seth Curry,37,25,9,1.8,2,1.4,0.1,0.9,0.423,0.788,0.435,SG,N,74,185,-0.465201422,-1.034032366,0.241522946,1.178857872,-1.08012345,-0.896174082,-0.695137521,0.527512896,0.585169644,0.154742681
BYU,2011,Kyle Collinsworth,36,25.7,5.8,5.1,2.1,1.1,0.4,1.6,0.481,0.568,0.259,G,N,78,210,-0.966970884,2.131883565,-0.515203088,0.081084276,1.94570496,0.655630038,1.223246865,-1.902175969,-1.2448223,0.097117386
Michigan,2014,Glenn Robinson III,37,32.3,13.1,4.4,1.2,0.9,0.3,1.2,0.488,0.757,0.306,SG,Y,79,222,-0.336578979,1.194432341,-1.426068617,-0.062994079,-0.561769006,-1.553424415,1.432795881,-0.787066184,-1.003534959,0.002640814
Kentucky,2015,Trey Lyles,36,23,8.7,5.2,1.1,0.5,0.4,1.1,0.488,0.735,0.138,PF,Y,82,250,0,0,0,0,0,0,0,0,0,0
Kentucky,2015,Karl-Anthony Towns,39,21.1,10.3,6.7,1.1,0.5,2.3,1.4,0.566,0.813,0.25,C,Y,83,250,-0.528616423,-0.076338102,-0.222189308,-0.674199862,1.511204764,-0.539163866,-0.55996526,1.20121966,-0.070365924,-0.010940326
Notre Dame,2015,Zach Auguste,37,24.4,12.9,6.5,0.8,0.7,0.7,1.6,0.619,0.636,0,F,N,82,240,0.663893001,0.425489624,-0.535303379,0.059253235,-0.194451266,0.168734232,1.022127823,-0.494894565,-0.823136797,-0.045756555
Michigan State,2014,Denzel Valentine,38,29.4,8,6,3.8,1,0.3,1.8,0.408,0.677,0.377,G,N,77,220,-0.500129179,1.843001079,0.533904046,-0.296122312,0.71234446,0.756679622,-0.684427872,-0.932110208,-0.0161822,-0.096401808
Syracuse,2012,Scoop Jardine,37,25.2,8.9,2.4,4.9,1.4,0.1,2.3,0.474,0.551,0.379,G,N,74,195,0.033131274,-0.62625072,1.711925027,1.193061491,-0.500105697,1.176835635,0.777183054,-2.051427021,0.526897423,-0.112420803
Michigan,2014,Mitch McGary,8,24.6,9.5,8.3,1.5,1.9,0.8,1.6,0.545,0.667,0,PF,Y,82,255,-1.181938313,0.723138418,0.318676018,1.660422614,-1.143725539,0.214834462,0.141601238,0.527880361,-1.003267752,-0.172047418
San Diego State,2011,Malcolm Thomas,37,30.4,11.4,8.1,2.3,0.5,2,2.1,0.536,0.642,0.167,PF,N,81,225,-0.13138336,0.173241649,1.906661351,-1.802842629,1.301321134,0.922085433,-0.214026415,-0.095161335,-0.392419175,-0.176694215
Syracuse,2012,Brandon Triche,37,22.5,9.4,2.5,2.6,1,0.1,1.4,0.422,0.775,0.35,G,N,76,210,0.178908882,-0.522660376,0.061955382,-0.152956601,-0.500105697,-0.356147626,-0.195571228,0.335688058,0.222679725,-0.215914228
Ohio State,2013,Shannon Scott,37,20.9,4.9,2.8,3.8,1.7,0.3,1.2,0.408,0.627,0.333,G,N,73,185,-1.408185392,-0.504745468,0.751475825,1.878125395,0.902772226,-0.648899731,-0.402443126,-1.529519243,-0.562848273,-0.226468325
North Carolina,2011,Tyler Zeller,37,28.1,15.7,7.2,0.6,0.7,1.2,1.4,0.547,0.763,0,C,N,84,253,1.042573345,-0.773052108,-0.356873214,0.3,-0.865231249,-0.165144565,0.246768678,1.499555907,-0.5,-0.240669984
Villanova,2014,Josh Hart,34,21.4,7.8,4.4,0.9,0.6,0.3,0.6,0.5,0.677,0.313,G,N,77,205,-0.561610781,0.761635143,-1.584852009,-1.201908209,0.71234446,-1.42928373,2.223478823,-0.932110208,-1.093269463,-0.247008514
Texas,2011,Cory Joseph,36,32.4,10.4,3.6,3,1,0.3,1.5,0.422,0.699,0.413,PG,Y,75,190,-0.555442144,0.274828706,-1.141343151,-0.675608754,0.928840728,-1.624487301,-0.420199195,-1.210789674,0.770536133,-0.40469005
Arizona,2015,Gabe York,37,23.1,9.2,2.1,1.2,0.6,0.4,1,0.44,0.811,0.4,G,N,75,185,-0.083125338,-0.928298916,-1.132758617,-1.039843315,1.082889165,-0.63471393,-0.055828698,0.608583187,0.440361187,-0.473307415
Notre Dame,2011,Scott Martin,33,30.5,9.7,4.8,1.8,0.5,0.3,1.5,0.428,0.64,0.333,G,N,80,218,0.159877656,1.846363445,-0.883205294,-0.96142784,1.177663528,0.382450855,-0.071668258,-1.124896345,-0.287929812,-0.527673775
Texas,2011,J'Covan Brown,36,21.5,10.4,2.2,2.1,0.9,0.2,1.7,0.406,0.861,0.385,G,N,73,197,0.362132522,-0.628144265,-0.515203088,-0.266419763,0.409622097,0.92880922,-0.609180196,1.260920279,0.384481126,-0.530600508
Kansas,2012,Jeff Withey,39,24.8,9,6.3,0.7,0.6,3.6,1.3,0.536,0.795,0,C,N,84,222,-0.621485445,-0.950885092,-0.845359663,-0.483062665,1.391605067,-1.171824339,-0.203039687,0.947049605,,-0.540403145
Louisville,2013,Chane Behanan,39,26.1,9.8,6.5,1.1,1.4,0.4,1.6,0.507,0.547,0.083,F,N,78,250,0.542419208,0.715565425,-0.729347579,1.496662955,-0.58434871,0.083890008,0.100139096,-1.674679187,-0.335301325,-0.552780126
Wichita State,2014,Cleanthony Early,36,27.4,16.4,5.9,0.8,0.8,0.8,1.9,0.486,0.844,0.375,SF,Y,80,220,0.493236071,-0.239071022,-1.19168909,-1.032795559,-0.469809239,0.066577955,-0.230769401,1.576514459,0.600685755,-0.560275981
Arizona,2015,Brandon Ashley,38,27.8,12.2,5.2,0.7,0.6,0.7,1.4,0.514,0.703,0.333,F,N,81,230,0.475065646,-0.622558503,-0.650011246,-0.474025882,-0.194451266,-0.210917789,-0.332585771,0.199916664,0.825887922,-0.561844646
Michigan State,2012,Keith Appling,37,30.8,11.4,2.9,3.9,1.2,0.4,2.3,0.427,0.788,0.25,PG,N,73,185,0.038262624,0.233490728,-0.933223963,-0.644254179,1.737198072,-0.871849176,-0.821371231,0.87810857,-1.958700679,-0.598640881
Indiana,2013,Will Sheehey,36,22.3,9.5,3.5,1.3,0.8,0.2,1.1,0.486,0.656,0.346,F,N,79,200,0.389265549,-1.036839698,-0.395931543,-0.748331477,-1.16869742,-1.034643437,-0.265586298,0.447879317,1.14058568,-0.603012451
Missouri,2012,Ricardo Ratliffe,35,26.2,13.9,7.5,0.6,0.6,1,1.6,0.693,0.691,0,F,N,80,240,1.49452053,1.49452053,-0.702781928,-0.866025404,-0.105801842,1.045645013,1.490676806,-0.88495207,-1.499175095,-0.624663488
Duke,2014,Tyler Thornton,35,21.3,3.1,1.8,2.4,1.3,0,0.7,0.427,0.857,0.45,G,N,74,190,-2.00642841,-0.995584504,-0.488943705,0.38321711,-1.080006117,-1.247120118,-0.083881924,1.182419977,1.212370458,-0.629716998
Kentucky,2012,Michael Kidd-Gilchrist,40,31.1,11.9,7.4,1.9,1,0.9,2.2,0.491,0.745,0.255,SF,Y,79,232,-0.349399359,0.483794722,0.350848837,-0.311085508,0.429188502,1.064703564,0.070886016,0.306056651,-0.575808862,-0.660222565
Florida State,2012,Ian Miller,24,23.5,10.3,2,1.3,1.3,0.1,1.3,0.397,0.774,0.354,G,N,75,197,0.441308575,-1.040612099,-0.870636157,0.856556968,-0.500105697,-0.5264791,-0.663241556,0.325031294,0.264640787,-0.660578784
Kentucky,2012,Terrence Jones,38,29.3,12.3,7.2,1.3,1.3,1.8,1.6,0.5,0.627,0.327,PF,Y,81,255,-0.439229296,-0.430654505,-0.355617351,0.931588505,0.092015754,-0.36313652,-0.243857484,-0.754169702,0.129737263,-0.707050296
Northern Iowa,2015,Wes Washpun,35,21.9,7.6,2.5,2.6,1,0.5,1.9,0.486,0.681,0.395,G,N,73,175,-0.702265789,-0.501676436,-0.098500749,-0.054728596,1.704974431,1.201422796,0.994765886,-1.200161086,0.328615397,-0.730399738
Michigan State,2014,Travis Trice,36,22.3,7.3,1.6,2.3,0.9,0.2,1,0.42,0.818,0.434,G,N,72,170,-0.715314784,-1.130755246,-0.562004259,-0.522568787,0.114894268,-0.70062928,-0.305135694,0.724271771,0.943098642,-0.752884809
Florida State,2012,Bernard James,35,28,10.8,8.1,0.5,0.7,2.3,2.1,0.606,0.552,0,C,Y,82,235,0.027021106,0.176287686,-0.885614886,0.442807443,-0.050025019,1.521744107,1.04939838,-0.840299813,,-0.761869397
Florida,2014,Scottie Wilbekin,34,34,13.1,2.4,3.6,1.6,0,1.7,0.402,0.725,0.39,G,N,74,176,1.067651653,-0.590072278,0.387782938,1.062556533,-1.080006117,0.574516009,-0.87407396,-0.368235492,0.20260115,-0.766311583
Ohio State,2013,Aaron Craft,37,34.1,10,3.6,4.6,2.1,0.2,1.9,0.417,0.768,0.3,PG,N,74,195,-1.079980605,0.655094524,-0.023345632,0.534522484,-0.389959134,-1.45999279,-0.484526859,-0.639907957,-0.799166533,-0.767276922
North Carolina,2012,Kendall Marshall,36,33,8.1,2.6,9.8,1.2,0.2,2.8,0.467,0.696,0.354,PG,Y,76,200,-1.066570633,-0.583726821,2.054539578,-0.644254179,-0.133630621,0.052839344,0.442276817,-0.889084927,0.098924277,-0.774365853
Villanova,2014,Darrun Hilliard II,34,29.1,14.3,3.6,2.6,1.3,0.5,2.2,0.486,0.718,0.414,SF,N,78,205,-0.061654509,-1.460989577,1.801390485,0.903696114,-1.677890138,0.665779552,-0.230769401,-0.282838007,0.850793347,-0.824041239
Ohio State,2013,Lenzelle Smith Jr.,37,27.4,9.2,4.8,1.5,0.5,0.1,1.2,0.43,0.687,0.374,G,N,76,210,0.018092318,1.651448764,-0.984810784,-1.663482492,-0.466951152,-0.648899731,0.152492694,-0.651708199,0.35854763,-0.937471491
Duke,2011,Kyle Singler,37,34.8,16.9,6.8,1.6,0.9,0.3,1.9,0.43,0.806,0.321,SF,Y,80,228,1.16897905,-0.242760108,-0.023345632,0.204124145,-1.032906168,0.661107357,-0.827890508,0.271865402,0.183754569,-0.959286606
New Mexico,2013,Alex Kirk,35,29.1,12.1,8.1,0.5,0.4,1.8,1.5,0.494,0.715,0.277,C,N,84,245,0.017884824,0.038784169,-0.893006925,-0.749268649,-0.183185826,-1.084652289,-0.289210384,0.158970659,-0.138527805,-0.973350503
New Mexico,2013,Alex Kirk,35,29.1,12.1,8.1,0.5,0.4,1.8,1.5,0.494,0.715,0.277,C,N,84,245,0.017884824,0.038784169,-0.893006925,-0.749268649,-0.183185826,-1.084652289,-0.289210384,0.158970659,-0.138527805,-0.973350503
Baylor,2012,Brady Heslip,38,27.1,10.2,1.3,1,0.6,0,0.4,0.455,0.921,0.455,SG,N,74,180,-0.720994165,-1.775191857,-1.387469499,-0.968507772,-1.404373534,-1.86083168,0.272268577,1.99342507,1.077651072,-1.05236043
Michigan State,2012,Brandon Wood,37,26.9,8.8,2.8,1.9,0.6,0.2,1,0.465,0.622,0.362,G,N,74,190,0.003975753,-0.211889341,-0.440209293,-1.498974694,0.346227021,-1.03747352,0.608821736,-1.294796795,0.348562911,-1.100809183
Ohio State,2012,Deshaun Thomas,39,31.4,15.9,5.4,0.9,0.4,0.2,1.2,0.52,0.748,0.345,SF,N,79,215,0.793290369,-0.461969397,-0.881863292,-1.244342034,-1.133057646,-0.687340275,0.65184315,0.368224409,0.113747298,-1.106786868
Northern Iowa,2015,Jeremy Morgan,35,23.5,5.6,3.1,0.9,1.1,0.5,0.5,0.424,0.731,0.333,G,N,77,192,-1.476191352,0.138257285,-1.354385303,0.191550084,1.704974431,-1.654789889,-0.421252901,-0.504490212,-1.057032397,-1.123780475
Michigan,2013,Tim Hardaway Jr.,38,34.8,14.5,4.7,2.4,0.7,0.4,1.9,0.437,0.694,0.374,SG,Y,78,210,0.60356533,0.51095191,1.767277331,-0.749114653,0.289972557,0.862374801,-0.686432469,-1.214804973,-0.800538451,-1.141498218
Michigan,2013,Nik Stauskas,39,30.5,11,3,1.3,0.6,0.2,1.1,0.463,0.851,0.44,SG,N,78,205,-0.528119664,-0.65584872,-0.805670548,-0.959803149,-0.455671162,-0.58160161,-0.280813283,1.023160381,0.934935418,-1.146229117
Kentucky,2011,DeAndre Liggins,38,31.6,8.6,4,2.5,1.2,0.7,1.4,0.424,0.648,0.391,SG,Y,78,209,-0.57077905,0.055726295,0.778240603,0.65492104,0.540061725,0.260179572,-0.66974437,-1.461761325,-0.213201343,-1.146715997
