Team,Year,Rank,Player,GP,MIN,PPG,RPG,APG,SPG,BPG,TPG,FG%,FT%,3P%,Position,Drafted,Height,Weight
Wichita State,2012,18,Ben Smith,33,25.4,9.8,3.2,0.7,0.5,0.3,0.8,0.435,0.703,0.386,F,0,77,209
Florida State,2012,10,Bernard James,35,28,10.8,8.1,0.5,0.7,2.3,2.1,0.606,0.552,0,C,1,82,235
Arkansas,2015,21,Bobby Portis,36,29.9,17.5,8.9,1.2,1.1,1.4,1.6,0.536,0.737,0.467,PF,1,83,230
Vanderbilt,2011,25,Brad Tinsley,34,32.7,10.6,3.7,4.6,0.8,0.2,1.9,0.436,0.824,0.369,G,0,75,210
Vanderbilt,2012,20,Brad Tinsley,36,27.5,9,2.6,4.1,0.6,0.1,2,0.474,0.855,0.415,G,0,75,210
Florida,2012,25,Bradley Beal,37,34.2,14.8,6.7,2.2,1.4,0.8,2.1,0.445,0.769,0.339,SG,1,77,207
Baylor,2012,9,Brady Heslip,38,27.1,10.2,1.3,1,0.6,0,0.4,0.455,0.921,0.455,SG,0,74,180
Baylor,2014,23,Brady Heslip,38,27.4,11.7,1.3,0.9,0.5,0,0.4,0.451,0.803,0.465,SG,0,74,180
Utah State,2011,19,Brady Jardine,34,21.4,7.5,7,0.5,0.5,1,1.2,0.541,0.647,0.5,F,0,79,220
Kansas,2011,2,Brady Morningstar,38,27.6,7.1,2.2,3.3,1.4,0.2,1.2,0.488,0.743,0.41,G,0,76,185
Michigan State,2012,5,Branden Dawson,31,20.6,8.4,4.5,0.9,0.9,0.8,1.4,0.577,0.594,0,SF,0,79,220
Michigan State,2013,9,Branden Dawson,36,26.9,8.9,5.9,1.3,1.6,0.9,2,0.531,0.538,0,SF,1,79,220
Michigan State,2014,11,Branden Dawson,28,28.3,11.2,8.3,1.6,1.3,0.9,1.3,0.613,0.656,0,SF,0,79,220
Michigan State,2015,23,Branden Dawson,35,30.1,11.9,9.1,1.7,1.2,1.7,1.9,0.535,0.49,0,SF,1,77,220
Arizona,2014,4,Brandon Ashley,22,27.7,11.5,5.8,1,0.6,0.7,1.7,0.522,0.757,0.379,F,0,81,230
Arizona,2015,5,Brandon Ashley,38,27.8,12.2,5.2,0.7,0.6,0.7,1.4,0.514,0.703,0.333,F,0,81,230
Arizona,2013,21,Brandon Ashley,35,20.5,7.5,5.3,0.7,0.5,0.5,1.5,0.525,0.735,1,F,0,81,230
BYU,2011,10,Brandon Davies,29,24.9,11.1,6.2,1.5,0.7,0.9,1.5,0.525,0.674,0,PF,0,82,240
Kentucky,2011,11,Brandon Knight,38,35.9,17.3,4,4.2,0.7,0.2,3.2,0.423,0.795,0.377,PG,1,75,189
Utah,2015,19,Brandon Taylor,35,30.2,10.6,2.6,3.3,1.3,0,1.7,0.445,0.857,0.439,G,0,70,167
Syracuse,2012,2,Brandon Triche,37,22.5,9.4,2.5,2.6,1,0.1,1.4,0.422,0.775,0.35,G,0,76,210
Syracuse,2011,12,Brandon Triche,35,28.8,11.1,2.7,2.9,0.8,0.1,2.1,0.419,0.842,0.333,G,0,76,210
Syracuse,2013,16,Brandon Triche,40,33.8,13.6,3.4,3.6,1.3,0.1,2.7,0.416,0.744,0.288,G,0,76,210
Michigan State,2012,5,Brandon Wood,37,26.9,8.8,2.8,1.9,0.6,0.2,1,0.465,0.622,0.362,G,0,74,190
Utah State,2011,19,Brian Green,34,25.2,10.5,2.3,1.7,0.6,0,0.8,0.482,0.745,0.469,G,0,73,200
VCU,2014,24,Briante Weber,35,28.9,9.4,4.1,3.9,3.5,0.1,1.9,0.449,0.784,0.244,G,0,74,165
VCU,2015,25,Briante Weber,20,26.5,8.1,3.7,4.3,3.9,0.2,1.7,0.401,0.741,0.414,G,0,74,165
North Carolina,2015,15,Brice Johnson,38,24.7,12.9,7.8,0.9,0.7,1.1,1.5,0.566,0.678,0,F,0,81,228
Utah State,2011,19,Brockeith Pane,34,28.3,11.8,3.1,3.4,0.9,0.1,2.6,0.436,0.802,0.211,G,0,73,195
Wisconsin,2015,3,Bronson Koenig,40,28.8,8.7,1.8,2.5,0.2,0.2,0.8,0.414,0.812,0.405,G,0,76,190
UCLA,2014,20,Bryce Alford,37,23.1,8,1.8,2.8,0.8,0.1,1.3,0.384,0.804,0.385,G,0,75,180
Iowa State,2015,9,Bryce Dejean-Jones,33,23,10.5,4.7,2.1,1.1,0.3,1.5,0.476,0.722,0.329,G,0,78,210
Michigan State,2015,23,Bryn Forbes,39,26.2,8.5,1.4,1,0.6,0.1,0.8,0.447,0.808,0.427,G,0,75,175
Oklahoma,2014,21,Buddy Hield,33,32.1,16.5,4.4,1.9,1.4,0.2,1.8,0.445,0.75,0.386,G,0,76,214
Oklahoma,2015,13,Buddy Hield,35,32.4,17.4,5.4,1.9,1.3,0.2,1.9,0.412,0.823,0.359,G,0,76,214
Gonzaga,2015,7,Byron Wesley,38,26.7,10.6,4.7,2.3,1,0.3,1.6,0.514,0.671,0.313,G,0,76,206
Syracuse,2012,2,C.J. Fair,37,26.4,8.5,5.4,0.9,1.1,0.5,0.8,0.464,0.743,0.25,SF,0,80,215
Syracuse,2013,16,C.J. Fair,40,34.9,14.5,7,0.7,1.1,1.1,1.6,0.47,0.755,0.469,SF,0,80,215
Syracuse,2014,14,C.J. Fair,34,37.8,16.5,6.4,1.3,1.3,0.8,2.5,0.429,0.725,0.276,SF,0,80,215
New Mexico,2013,10,Cameron Bairstow,35,24.1,9.7,5.9,0.9,0.7,0.6,1.2,0.456,0.738,0,PF,0,81,250
New Mexico,2014,17,Cameron Bairstow,34,32.9,20.4,7.4,1.6,0.6,1.5,2,0.556,0.735,0.333,PF,1,81,250
Oklahoma,2014,21,Cameron Clark,33,27.7,15.6,5.5,1.1,1,0.4,1.3,0.462,0.798,0.435,G,0,79,211
Michigan,2014,7,Caris LeVert,37,34,12.9,4.3,2.9,1.2,0.3,1.7,0.439,0.767,0.408,G,0,79,200
Wichita State,2012,18,Carl Hall,33,22.3,8.4,5,0.7,0.5,0.8,0.8,0.572,0.646,0,F,0,80,238
Notre Dame,2011,5,Carleton Scott,30,31.2,11.2,7.4,2.1,0.8,1.9,1.4,0.455,0.889,0.359,SF,0,80,218
West Virgina,2011,22,Casey Mitchell,30,23.5,13.6,2.8,1.1,0.7,0.2,1.7,0.42,0.871,0.379,G,0,76,220
Florida,2014,1,Casey Prather,37,27.9,13.8,5,1.6,1,0.5,2.2,0.603,0.679,0.4,F,0,78,212
Florida,2011,15,Chandler Parsons,36,34.1,11.3,7.8,3.8,0.9,0.4,2.3,0.48,0.557,0.368,SF,1,81,227
Louisville,2013,2,Chane Behanan,39,26.1,9.8,6.5,1.1,1.4,0.4,1.6,0.507,0.547,0.083,F,0,78,250
Louisville,2012,17,Chane Behanan,40,26,9.5,7.5,0.8,0.8,0.5,1.8,0.51,0.594,0.167,F,0,78,250
San Diego State,2011,6,Chase Tapley,34,25.5,8.6,2.4,1.9,1.3,0.2,1.3,0.485,0.828,0.38,G,0,75,195
San Diego State,2012,22,Chase Tapley,34,34,15.8,4.3,2.3,1.8,0.4,1.6,0.455,0.723,0.433,G,0,75,195
Michigan,2012,13,Chris Crawford,36,27.3,10.4,3.8,3.2,1.5,0.4,1.7,0.426,0.793,0.399,PG,0,76,222
Louisville,2014,5,Chris Jones,33,25.6,10.2,2.3,2.9,2.2,0.1,1.4,0.395,0.772,0.377,G,0,70,175
Louisville,2015,17,Chris Jones,26,31,13.7,4,3.6,2,0,2.3,0.379,0.73,0.339,G,0,70,175
Louisville,2011,14,Chris Smith,35,26,9.4,4.6,2.5,0.9,0.1,1.7,0.458,0.682,0.404,PG,0,74,200
Louisville,2012,17,Chris Smith,40,27.5,9.7,3.6,1.9,0.9,0,1.1,0.404,0.735,0.399,PG,0,74,200
Indiana,2013,4,Christian Watford,36,27.9,12.3,6.3,0.9,0.6,0.5,1.6,0.432,0.811,0.484,SF,0,81,232
Wichita State,2014,2,Cleanthony Early,36,27.4,16.4,5.9,0.8,0.8,0.8,1.9,0.486,0.844,0.375,SF,1,80,220
