Team,Year,Rank,Player,GP,MIN,PPG,RPG,APG,SPG,BPG,TPG,FG%,FT%,3P%,Position,Drafted,Height,Weight
Gonzaga,2013,1,Gary Bell Jr.,34,28.6,9,2.2,2.1,0.8,0,1.3,0.42,0.723,0.392,G,0,74,214
Gonzaga,2015,7,Gary Bell Jr.,38,27.8,8.2,2.4,2,0.8,0.1,0.9,0.404,0.75,0.361,G,0,74,214
West Virginia,2015,20,Gary Browne,32,20.1,7,1.9,1.4,1.2,0,1.3,0.374,0.696,0.385,G,0,73,195
Cincinnati,2014,15,Gary Clark,34,27.8,7.8,7.2,1.7,1,1.3,1.1,0.524,0.625,0,F,0,79,230
Baylor,2014,23,Gary Franklin,38,21.8,5.3,1.6,2.4,0.5,0,1.4,0.357,0.75,0.328,G,0,74,190
Michigan State,2013,9,Gary Harris,34,29.7,12.9,2.5,1.4,1.3,0.2,1.5,0.456,0.755,0.411,SG,1,76,210
Michigan State,2014,11,Gary Harris,35,32.3,16.7,4,2.7,1.8,0.4,1.7,0.429,0.81,0.352,SG,1,76,210
Texas,2011,8,Gary Johnson,36,30.3,11.5,6.8,1.3,0.4,0.3,1.6,0.466,0.655,0.25,F,0,78,238
Pittsburgh,2011,4,Gary McGhee,34,23,6.9,7.7,0.3,0.3,1.3,0.7,0.567,0.485,0,C,0,83,250
Iowa State,2014,9,Georges Niang,34,30.1,16.7,4.5,3.6,0.6,0.6,2.4,0.474,0.721,0.327,F,0,80,230
Iowa State,2015,9,Georges Niang,34,30.7,15.3,5.4,3.4,0.5,0.5,2.7,0.461,0.808,0.4,F,0,80,230
Michigan,2012,13,Geron Johnson,33,28.8,10.4,4.6,3.5,1.8,0.4,2.9,0.444,0.708,0.35,SG,0,75,203
Michigan,2013,10,Glenn Robinson III,39,33.6,11,5.4,1.1,1,0.3,0.8,0.572,0.676,0.324,SG,0,79,222
Michigan,2014,7,Glenn Robinson III,37,32.3,13.1,4.4,1.2,0.9,0.3,1.2,0.488,0.757,0.306,SG,1,79,222
Louisville,2013,2,Gorgui Dieng,33,31.1,9.8,9.4,2,1.3,2.5,1.8,0.534,0.652,0,C,1,83,233
Louisville,2012,17,Gorgui Dieng,40,32.8,9.1,9.1,1.1,1.2,3.2,2,0.525,0.676,0.5,C,0,83,233
Creighton,2012,19,Grant Gibbs,35,29.9,7,4.5,5,1.1,0.1,2.1,0.491,0.699,0.367,G,0,77,210
Creighton,2013,22,Grant Gibbs,36,30.8,8.5,4.1,5.8,0.9,0.2,2.2,0.531,0.756,0.396,G,0,77,210
Creighton,2014,16,Grant Gibbs,29,26.1,7.2,3.3,3.9,0.6,0.4,1.9,0.556,0.612,0.432,G,0,77,210
Georgetown,2013,8,Greg Whittington,13,35.2,12.1,7,2,1.3,0.8,2,0.451,0.606,0.309,F,0,80,205
Georgetown,2012,15,Greg Whittington,33,20.1,4.3,2.9,0.9,0.6,0.5,1.1,0.395,0.632,0.357,F,0,80,205
Creighton,2012,19,Gregory Echenique,35,23.9,9.7,7.3,0.6,0.4,1.6,1.5,0.607,0.669,0,C,0,81,260
Creighton,2013,22,Gregory Echenique,36,22.9,9.7,6.6,0.4,0.6,1.7,1.3,0.657,0.646,0,C,0,81,260
North Carolina,2011,7,Harrison Barnes,37,29.4,15.7,5.8,1.4,0.7,0.4,1.9,0.423,0.75,0.344,SF,0,80,225
North Carolina,2012,4,Harrison Barnes,38,29.2,17.1,5.2,1.1,1.1,0.3,1.9,0.44,0.723,0.358,SF,1,80,225
Georgetown,2012,15,Henry Sims,33,27.5,11.6,6,3.5,0.6,1.4,2.8,0.462,0.708,0,C,0,82,248
Georgetown,2012,15,Hollis Thompson,33,31.1,12.8,5.5,1.5,0.7,0.5,1.7,0.464,0.679,0.43,SG,0,80,206
New Mexico,2013,10,Hugh Greenwood,35,28.5,7,5,2.4,1.3,0.5,1.3,0.413,0.607,0.357,G,0,75,205
New Mexico,2012,21,Hugh Greenwood,33,23.2,6.3,3.7,2.5,0.8,0.5,1,0.416,0.694,0.34,G,0,75,205
New Mexico,2014,17,Hugh Greenwood,31,31.8,6.2,5.1,3.4,0.9,0.3,1,0.401,0.645,0.331,G,0,75,205
Florida State,2012,10,Ian Miller,24,23.5,10.3,2,1.3,1.3,0.1,1.3,0.397,0.774,0.354,G,0,75,197
Georgetown,2015,22,Isaac Copeland,33,20,6.8,3.8,0.7,0.2,0.6,1.1,0.451,0.809,0.389,F,0,81,220
Baylor,2014,23,Isaiah Austin,38,28,11.2,5.5,1.4,0.4,3.1,1.8,0.447,0.683,0.277,C,0,85,225
Murray State,2012,12,Isaiah Canaan,33,33.7,19,3.5,3.6,1.4,0.1,2.7,0.468,0.837,0.456,PG,1,72,201
Oklahoma,2014,21,Isaiah Cousins,33,29.5,11,4.2,2.1,1.2,0.3,1.6,0.441,0.804,0.404,G,0,76,200
Oklahoma,2015,13,Isaiah Cousins,35,30.8,11.7,4.6,2.2,1.2,0.4,2.1,0.424,0.648,0.45,G,0,76,200
Washington,2011,23,Isaiah Thomas,35,31.9,16.8,3.5,6.1,1.3,0.1,3,0.445,0.719,0.349,PG,1,69,185
Murray State,2012,12,Ivan Aska,27,27.4,10.6,6,0.5,0.5,0.5,1.4,0.474,0.844,0.4,F,0,79,230
San Diego State,2014,13,J.J. O'Brien,35,27.9,7.8,4.7,1.1,0.7,0.3,1.4,0.459,0.644,0.278,F,0,79,220
North Carolina,2014,19,J.P. Tokoto,34,28.7,9.3,5.8,3,1.6,0.5,1.9,0.489,0.5,0.222,SG,0,78,200
North Carolina,2015,15,J.P. Tokoto,38,29.1,8.3,5.6,4.3,1.5,0.3,2.2,0.428,0.615,0.375,SG,1,78,200
Texas,2011,8,J'Covan Brown,36,21.5,10.4,2.2,2.1,0.9,0.2,1.7,0.406,0.861,0.385,G,0,73,197
Duke,2014,8,Jabari Parker,35,30.7,19.1,8.7,1.2,1.1,1.2,2.3,0.473,0.748,0.358,SF,1,80,240
Georgetown,2013,8,Jabril Trawick,32,26.6,5.8,2.9,1.9,1.1,0.3,1.7,0.407,0.721,0.299,G,0,77,220
Georgetown,2015,22,Jabril Trawick,33,27.9,9.1,3.6,2.4,1,0.4,1.8,0.492,0.68,0.407,G,0,77,220
Notre Dame,2013,23,Jack Cooley,35,29.3,13.1,10.1,0.8,0.7,1.2,1.4,0.579,0.703,0.5,SF,0,81,246
BYU,2011,10,Jackson Emery,37,32.5,12.5,3.5,2.6,2.7,0.2,0.9,0.427,0.829,0.361,G,0,75,190
Kansas State,2011,21,Jacob Pullen,31,32.6,20.2,2.9,3.7,1.6,0.1,3.1,0.426,0.773,0.381,G,0,73,200
Marquette,2012,11,Jae Crowder,35,32.9,17.5,8.4,2.1,2.5,1,1.3,0.498,0.735,0.345,SF,1,78,235
Creighton,2012,19,Jahenns Manigat,35,22.7,6.6,2.2,1.5,0.7,0,0.8,0.471,0.871,0.468,G,0,73,180
Creighton,2014,16,Jahenns Manigat,35,28.4,7,2.8,2.9,1,0,0.7,0.438,0.9,0.405,G,0,73,180
Duke,2015,4,Jahlil Okafor,38,30.1,17.3,8.5,1.3,0.8,1.4,2.5,0.664,0.51,0,C,1,83,275
Purdue,2011,13,JaJuan Johnson,34,35.4,20.5,8.6,1,0.9,2.3,1.6,0.494,0.809,0.294,PF,1,82,221
Saint Louis,2014,25,Jake Barnett,34,24.2,4.7,2.8,1.1,0.8,0.2,1,0.329,0.583,0.312,F,0,77,205
Maryland,2015,12,Jake Layman,35,30.1,12.5,5.8,1.4,0.8,0.7,1.9,0.47,0.752,0.378,F,0,81,220
Utah,2015,19,Jakob Poeltl,34,23.3,9.1,6.8,0.7,0.4,1.9,1.6,0.681,0.444,0,F,0,84,235
San Diego State,2012,22,Jamaal Franklin,32,30.3,17.4,7.9,1.5,1,0.6,3,0.433,0.8,0.325,SG,0,77,191
Kansas State,2011,21,Jamar Samuels,33,24.5,8.5,5.4,1.5,0.7,0.5,1.6,0.413,0.653,0.231,F,0,79,230
Kansas,2015,10,Jamari Traylor,35,20.4,4.8,3.7,0.9,0.8,1.1,1.5,0.486,0.6,0,F,0,80,220
Iowa State,2015,9,Jameel McKay,25,27.2,11,7.6,0.6,0.8,2.4,1.2,0.583,0.598,0,F,0,81,215
Xavier,2011,20,Jamel McLean,31,30.2,10.6,8.4,0.8,0.6,0.8,1.5,0.539,0.612,0,F,0,80,229
Villanova,2014,6,James Bell,34,29.5,14.4,6.1,1.6,1.3,0.6,1.7,0.426,0.815,0.371,G,0,78,225
Indiana,2012,16,James Blackmon Jr.,33,30,15.7,5.3,1.5,0.6,0.1,1.6,0.42,0.806,0.387,G,0,76,190
North Carolina,2014,19,James Michael McAdoo,34,30.1,14.2,6.8,1.7,1.3,0.9,1.4,0.458,0.537,0,SF,0,81,230
San Diego State,2011,6,James Rahon,37,21.6,7,1.6,0.8,0.4,0,0.5,0.427,0.692,0.434,G,0,77,205
San Diego State,2012,22,James Rahon,31,31.7,8.9,2.7,0.8,0.5,0,0.8,0.405,0.595,0.32,G,0,77,205
Pittsburgh,2013,20,James Robinson,33,26.6,6.1,2.1,3.5,1,0,1.2,0.368,0.792,0.313,G,0,75,198
Syracuse,2013,16,James Southerland,34,29.5,13.3,5.2,1.1,1.5,0.9,1.2,0.45,0.789,0.398,SF,0,80,215
Marquette,2012,11,Jamil Wilson,34,24.1,7.1,4.1,1.1,0.7,1.4,1.1,0.448,0.707,0.345,F,0,79,230
Marquette,2013,15,Jamil Wilson,35,25.2,9.7,4.9,1.7,0.6,0.9,1.5,0.444,0.744,0.36,F,0,79,230
Ohio State,2011,1,Jared Sullinger,37,31.7,17.2,10.2,1.2,1,0.5,1.6,0.541,0.704,0.25,PF,0,81,260
Ohio State,2012,7,Jared Sullinger,37,30.4,17.5,9.2,1.2,1.2,1.1,1.9,0.519,0.768,0.4,PF,1,81,260
Georgetown,2012,15,Jason Clark,33,32.6,14,4.1,1.8,1.6,0.3,2.3,0.476,0.75,0.322,G,0,74,180
Villanova,2014,6,JayVaughn Pinkston,34,27.1,14.1,6.1,1.4,0.9,0.6,1.7,0.521,0.744,0.258,F,0,79,235
Villanova,2015,2,JayVaughn Pinkston,36,25.9,9.7,5.4,1.1,0.8,0.8,1.7,0.453,0.777,0,F,0,79,235
Oklahoma State,2013,17,Jeff Newberry,32,21,6.7,2.3,1.4,0.9,0.4,1,0.414,0.807,0.354,G,0,74,190
Vanderbilt,2011,25,Jeff Taylor,34,31.7,14.7,5.5,2.4,1,0.6,2.6,0.449,0.719,0.345,SF,0,79,225
Vanderbilt,2012,20,Jeff Taylor,36,32.1,16.1,5.6,1.7,1.3,0.4,2.2,0.493,0.605,0.423,SF,1,79,225
Kansas,2012,6,Jeff Withey,39,24.8,9,6.3,0.7,0.6,3.6,1.3,0.536,0.795,0,C,0,84,222
Kansas,2013,3,Jeff Withey,37,30.9,13.7,8.5,0.9,0.8,3.9,2,0.582,0.714,1,C,1,84,222
VCU,2015,25,JeQuan Lewis,35,21.7,8.5,1.7,2.7,1.4,0,2.2,0.371,0.802,0.358,G,0,73,180
Syracuse,2014,14,Jerami Grant,32,31.4,12.1,6.8,1.4,0.8,0.6,1.2,0.496,0.674,0,SF,1,80,210
Connecticut,2011,9,Jeremy Lamb,41,27.8,11.1,4.5,1.6,0.9,0.6,1.3,0.487,0.797,0.368,SG,1,77,185
Northern Iowa,2015,11,Jeremy Morgan,35,23.5,5.6,3.1,0.9,1.1,0.5,0.5,0.424,0.731,0.333,G,0,77,192
Notre Dame,2015,8,Jerian Grant,38,37.1,16.5,3,6.7,1.7,0.5,2.2,0.478,0.78,0.316,PG,1,77,205
Notre Dame,2013,23,Jerian Grant,35,36.3,13.3,2.9,5.5,1.3,0.2,2.9,0.406,0.737,0.344,PG,0,77,205
Cincinnati,2014,15,Jermaine Sanders,34,20.9,4.6,3,0.9,0.5,0.1,0.6,0.382,0.564,0.27,F,0,77,210
West Virginia,2015,20,Jevon Carter,35,23.8,8.1,2.3,1.8,1.9,0.1,1.2,0.36,0.77,0.314,G,0,74,185
Murray State,2012,12,Jewuan Long,33,28,8.6,3,2.5,1.2,0.7,2,0.491,0.689,0.423,G,0,73,180
BYU,2011,10,Jimmer Fredette,37,35.8,28.9,3.4,4.3,1.3,0,3.5,0.452,0.894,0.396,PG,1,74,195
Michigan,2012,13,Joe Jackson,36,32.6,13.6,3.3,4.8,1.7,0.2,2.8,0.519,0.73,0.447,G,0,73,171
West Virgina,2011,22,Joe Mazzulla,33,28.8,7.7,3.8,4.2,0.8,0.1,1.9,0.46,0.669,0.3,G,0,74,200
Wichita State,2012,18,Joe Ragland,32,27.4,13.4,2.9,3.3,0.9,0.1,1.9,0.568,0.814,0.504,G,0,72,185
Kansas,2014,10,Joel Embiid,28,23.1,11.2,8.1,1.4,0.9,2.6,2.4,0.626,0.685,0.2,C,1,84,250
North Carolina,2014,19,Joel James,30,7.9,1.7,2.7,0.2,0.1,0.1,0.6,0.388,0.778,0,F,0,82,280
West Virgina,2011,22,John Flowers,33,29.8,9.2,6.2,1.7,0.8,2.2,1.5,0.473,0.758,0.323,F,0,79,215
North Carolina,2011,7,John Henson,37,26.7,11.7,10.1,0.8,0.6,3.2,2.1,0.5,0.479,0.167,C,0,83,230
North Carolina,2012,4,John Henson,35,29.1,13.7,9.9,1.3,0.6,2.9,1.3,0.5,0.511,0,C,1,83,230
Vanderbilt,2011,25,John Jenkins,32,34.5,19.5,3,1.2,0.8,0.3,1.6,0.462,0.894,0.408,SG,0,76,215
Vanderbilt,2012,20,John Jenkins,35,33.6,19.9,2.9,1.2,0.8,0.3,1.6,0.474,0.837,0.439,SG,1,76,215
Baylor,2015,16,Johnathan Motley,34,21.5,7.7,4.2,0.7,0.4,1.4,1.6,0.417,0.625,0.2,F,0,81,230
Wisconsin,2011,16,Jon Leuer,34,33.5,18.3,7.2,1.6,0.5,0.9,1.6,0.47,0.843,0.37,PF,1,82,228
West Virginia,2015,20,Jonathan Holton,35,21.5,7.5,5.9,1.2,1.2,0.8,1.5,0.452,0.658,0.203,F,0,79,220
Saint Louis,2013,13,Jordair Jett,35,26.3,9,2.9,3.2,1.1,0.2,2.1,0.511,0.623,0.333,G,0,73,215
Saint Louis,2014,25,Jordair Jett,34,31.6,13.9,4,4.8,1.5,0.5,2.9,0.49,0.6,0.189,G,0,73,215
UCLA,2013,24,Jordan Adams,33,30.3,15.3,3.8,1.8,2.2,0.4,1.2,0.447,0.843,0.307,SG,0,77,209
UCLA,2014,20,Jordan Adams,36,30.1,17.4,5.3,2.3,2.6,0.1,1.5,0.485,0.836,0.356,SG,1,77,209
Oregon,2013,25,Jordan Bell,35,23.7,5.1,6.1,1.3,0.8,2.7,1.1,0.597,0.5,0,F,0,80,225
VCU,2014,24,Jordan Burgess,31,21.6,4.9,2.6,1,0.9,0.3,1.1,0.307,0.675,0.333,G,0,77,225
VCU,2015,25,Jordan Burgess,35,22.3,5.1,4.4,0.8,0.6,0.5,0.8,0.364,0.538,0.264,G,0,77,225
Texas,2011,8,Jordan Hamilton,36,32.2,18.6,7.7,2.1,0.9,0.6,2.1,0.44,0.779,0.385,SG,1,79,220
Indiana,2013,4,Jordan Hulls,36,28.8,9.7,2.3,3,0.8,0,1.2,0.444,0.776,0.444,G,0,72,182
Utah,2015,19,Jordan Loveridge,28,26.3,10,3.9,1,0.6,0.2,1.4,0.416,0.873,0.435,F,0,78,222
Wisconsin,2011,16,Jordan Taylor,34,36.5,18.1,4.1,4.7,0.7,0.1,1.2,0.433,0.832,0.429,G,0,73,195
Wisconsin,2012,14,Jordan Taylor,36,36,14.8,3.8,4.1,1,0,1.6,0.402,0.785,0.369,G,0,73,195
Oklahoma,2014,21,Jordan Woodard,33,28,10.3,2.2,4.6,1,0.1,2.1,0.357,0.777,0.37,G,0,72,187
Oklahoma,2015,13,Jordan Woodard,35,31.9,9.3,3.5,3.8,1.6,0.1,2.3,0.361,0.838,0.254,G,0,72,187
Saint Mary's,2012,24,Jorden Page,33,26,8,1.2,2.3,0.7,0.1,1.6,0.355,0.861,0.326,G,0,73,180
Oregon,2013,25,Joseph Young,36,36.7,20.7,4.4,3.8,1.1,0,2.4,0.448,0.925,0.357,PG,0,74,180
San Diego State,2014,13,Josh Davis,34,30.6,7.7,10.1,0.9,1,0.5,1.4,0.455,0.472,0,SF,0,80,215
Wisconsin,2015,3,Josh Gasser,40,33,6.6,3.5,1.8,0.8,0.2,0.5,0.443,0.827,0.389,G,0,75,190
Wisconsin,2011,16,Josh Gasser,34,28.1,5.9,3.9,2.2,0.5,0.1,0.9,0.472,0.855,0.302,G,0,75,190
Wisconsin,2012,14,Josh Gasser,36,34.1,7.6,4.2,1.9,0.7,0.1,1.2,0.464,0.783,0.452,G,0,75,190
Wisconsin,2014,12,Josh Gasser,38,33.4,8.8,4,1.9,0.7,0.2,0.8,0.433,0.868,0.431,G,0,75,190
Kentucky,2011,11,Josh Harrellson,38,28.5,7.6,8.7,0.8,0.9,1.5,0.7,0.611,0.589,0.2,PF,1,82,275
Villanova,2014,6,Josh Hart,34,21.4,7.8,4.4,0.9,0.6,0.3,0.6,0.5,0.677,0.313,G,0,77,205
Villanova,2015,2,Josh Hart,36,25.5,10.1,4.5,1.5,1.1,0.4,1.1,0.515,0.67,0.464,G,0,77,205
Kansas,2011,2,Josh Selby,26,20.4,7.9,2.2,2.2,0.8,0,2,0.373,0.757,0.362,PG,1,74,183
Georgetown,2015,22,Joshua Smith,33,20.5,10.8,5.8,1.2,1,0.7,2,0.621,0.646,0,C,0,82,350
Marquette,2012,11,Junior Cadougan,34,28.6,6.3,2.1,5.4,1.1,0.2,2.6,0.384,0.686,0.237,G,0,73,205
Marquette,2013,15,Junior Cadougan,35,28.1,8.5,2.9,3.8,1.1,0.1,2.5,0.431,0.714,0.226,G,0,73,205
Virginia,2014,3,Justin Anderson,37,21.5,7.8,3.2,1.5,0.4,0.8,1.4,0.407,0.716,0.294,SG,0,78,225
Virginia,2015,6,Justin Anderson,26,27.8,12.2,4,1.7,0.7,0.5,1.2,0.466,0.78,0.452,SG,1,78,225
St John's,2011,18,Justin Brownlee,33,30.2,12.3,5.2,1.9,1.1,0.8,2,0.494,0.677,0.34,PF,0,79,219
St John's,2011,18,Justin Burrell,33,20.9,6.3,4.9,0.8,0.6,0.5,1.5,0.503,0.611,0,F,0,80,244
UNLV,2012,23,Justin Hawkins,35,24.9,7.9,2.9,1.6,1.5,0.3,0.5,0.418,0.62,0.323,G,0,75,190
Washington,2011,23,Justin Holiday,35,28.3,10.5,5.2,2.1,1.2,0.8,1.5,0.465,0.772,0.359,SG,0,78,185
North Carolina,2015,15,Justin Jackson,38,26.7,10.7,3.7,2.3,0.5,0.5,1.4,0.477,0.71,0.304,F,0,80,193
Duke,2015,4,Justise Winslow,39,29.1,12.6,6.5,2.1,1.3,0.9,1.8,0.486,0.641,0.418,SG,1,78,220
VCU,2014,24,Juvonte Reddic,35,27.9,11.8,8.4,0.7,1.3,1.2,1.7,0.509,0.548,0.333,F,0,81,250
West Virginia,2015,20,Juwan Staten,30,31.3,14.2,2.7,4.6,1.1,0,2,0.421,0.702,0.362,G,0,73,190
Arizona,2014,4,Kaleb Tarczewski,36,28.3,9.9,6.3,0.5,0.1,1,1.8,0.584,0.756,0,C,0,84,245
Arizona,2015,5,Kaleb Tarczewski,38,26,9.3,5.2,0.3,0.4,0.6,1.4,0.572,0.699,0,C,0,84,245
Arizona,2013,21,Kaleb Tarczewski,35,22,6.6,6.1,0.4,0.3,0.7,1.5,0.538,0.633,0,C,0,84,245
Butler,2015,24,Kameron Woods,34,31.3,7.8,9.9,1.1,1.2,0.9,1.2,0.506,0.659,0,F,0,81,200
Kentucky,2015,1,Karl-Anthony Towns,39,21.1,10.3,6.7,1.1,0.5,2.3,1.4,0.566,0.813,0.25,C,1,83,250
Florida,2014,1,Kasey Hill,32,22,5.5,2,3.1,1.2,0.2,1.6,0.407,0.663,0.143,G,0,73,182
San Diego State,2011,6,Kawhi Leonard,36,32.6,15.5,10.6,2.5,1.4,0.6,2.1,0.444,0.759,0.291,SF,1,79,230
Wisconsin,2011,16,Keaton Nankivil,34,27.9,9.7,4.2,0.7,0.5,1.2,0.9,0.496,0.838,0.457,F,0,80,240
Michigan State,2012,5,Keith Appling,37,30.8,11.4,2.9,3.9,1.2,0.4,2.3,0.427,0.788,0.25,PG,0,73,185
Michigan State,2013,9,Keith Appling,36,33.6,13.4,3.4,3.3,1.3,0.6,2.3,0.415,0.749,0.32,PG,0,73,185
Michigan State,2014,11,Keith Appling,35,31.5,11.2,3,4.5,1.2,0.4,2.1,0.452,0.66,0.362,PG,0,73,185
SMU,2015,18,Keith Frazier,17,27.8,10.5,4,1.4,0.8,0.4,1.2,0.449,0.81,0.333,G,0,77,190
Butler,2015,24,Kellen Dunham,34,33.9,16.5,2.6,0.9,0.6,0,1.5,0.429,0.85,0.41,G,0,78,200
Gonzaga,2013,1,Kelly Olynyk,32,26.4,17.8,7.3,1.7,0.7,1.1,2.4,0.629,0.776,0.3,C,1,84,238
Kansas,2015,10,Kelly Oubre Jr.,36,21,9.3,5,0.8,1.1,0.4,1.2,0.444,0.718,0.358,SF,1,79,205
Connecticut,2011,9,Kemba Walker,41,37.6,23.5,5.4,4.5,1.9,0.2,2.3,0.428,0.819,0.33,PG,1,73,184
North Carolina,2011,7,Kendall Marshall,37,24.6,6.2,2.1,6.2,1.1,0.1,2.5,0.418,0.69,0.377,PG,0,76,200
North Carolina,2012,4,Kendall Marshall,36,33,8.1,2.6,9.8,1.2,0.2,2.8,0.467,0.696,0.354,PG,1,76,200
New Mexico,2013,10,Kendall Williams,34,34.4,13.3,3.5,4.9,1.1,0.1,2.1,0.406,0.765,0.348,G,0,76,180
New Mexico,2012,21,Kendall Williams,34,29.8,12.1,3.3,4.2,1.4,0.1,2.2,0.444,0.78,0.355,G,0,76,180
New Mexico,2014,17,Kendall Williams,34,35.3,16,3.6,4.9,1.6,0.1,2,0.43,0.785,0.389,G,0,76,180
North Carolina,2015,15,Kennedy Meeks,37,23.3,11.4,7.3,1.1,0.6,1.2,1.6,0.562,0.641,0,F,0,81,265
Florida,2011,15,Kenny Boynton,37,32.9,14.2,1.5,2.6,0.9,0.2,1.4,0.385,0.823,0.331,G,0,74,190
Florida,2012,25,Kenny Boynton,37,31.6,15.9,2.6,2.7,0.8,0,1.4,0.44,0.754,0.407,G,0,74,190
Florida,2013,14,Kenny Boynton,37,31.6,12,3,2.7,0.8,0.1,1.3,0.394,0.822,0.321,G,0,74,190
Baylor,2014,23,Kenny Chery,37,28.9,11.5,2.6,4.7,0.9,0.1,2.1,0.423,0.879,0.325,G,0,71,180
Baylor,2015,16,Kenny Chery,29,32.4,11.3,3.1,4.1,1.4,0,2.6,0.381,0.824,0.377,G,0,71,180
Xavier,2011,20,Kenny Frease,32,28.5,11.7,7.1,1.2,0.3,0.8,1.3,0.549,0.702,0,C,0,84,275
Miami (FL),2013,5,Kenny Kadji,36,29.1,12.9,6.8,0.8,0.4,1.3,1.8,0.471,0.661,0.351,PF,0,82,242
Cincinnati,2014,15,Kevin Johnson,34,21.8,6.5,1.4,1.3,0.8,0.1,1.6,0.379,0.659,0.35,G,0,74,175
West Virgina,2011,22,Kevin Jones,33,34.9,13.1,7.5,1.1,0.5,0.5,1.1,0.446,0.604,0.301,PG,0,80,260
Gonzaga,2013,1,Kevin Pangos,35,32.2,11.9,2.7,3.3,1.5,0,1.5,0.426,0.807,0.417,G,0,74,182
Gonzaga,2015,7,Kevin Pangos,38,33.6,11.6,2.7,4.8,1.3,0.1,1.3,0.449,0.824,0.431,G,0,74,182
Kansas,2013,3,Kevin Young,36,22.8,7.8,6.8,1.2,1.1,0.6,1.3,0.562,0.596,0,F,0,80,190
Texas A&M,2011,24,Khris Middleton,33,29.6,14.4,5.2,2.8,1.2,0.1,2.7,0.452,0.784,0.361,SG,0,80,225
Missouri,2012,3,Kim English,35,33.6,14.5,4.2,1.6,1.3,0.3,1.7,0.521,0.725,0.459,SG,1,78,200
Syracuse,2012,2,Kris Joseph,37,32.2,13.4,4.7,1.5,1.4,0.6,1.5,0.421,0.745,0.345,SF,1,79,210
Syracuse,2011,12,Kris Joseph,34,32.4,14.3,5.2,2.2,1.5,0.6,2.1,0.456,0.711,0.366,SF,0,79,210
Saint Louis,2013,13,Kwamain Mitchell,24,30.2,10.6,2.3,3.1,1.7,0,2,0.402,0.695,0.315,G,0,60,175
UCLA,2013,24,Kyle Anderson,35,29.9,9.7,8.6,3.5,1.8,0.9,2.1,0.416,0.735,0.211,SF,0,81,230
UCLA,2014,20,Kyle Anderson,36,33.2,14.6,8.8,6.5,1.8,0.8,3.1,0.48,0.737,0.483,SF,1,81,230
BYU,2011,10,Kyle Collinsworth,36,25.7,5.8,5.1,2.1,1.1,0.4,1.6,0.481,0.568,0.259,G,0,78,210
Arizona,2011,17,Kyle Fogg,38,25.5,8.1,1.8,2.6,0.8,0.2,1.4,0.373,0.747,0.355,SG,0,75,183
Duke,2011,3,Kyle Singler,37,34.8,16.9,6.8,1.6,0.9,0.3,1.9,0.43,0.806,0.321,SF,1,80,228
Gonzaga,2015,7,Kyle Wiltjer,38,27.6,16.8,6.2,1.9,0.5,0.7,1.1,0.54,0.789,0.466,F,0,82,240
Duke,2011,3,Kyrie Irving,11,27.5,17.5,3.4,4.3,1.5,0.5,2.5,0.529,0.901,0.462,PG,1,75,193
Georgetown,2015,22,L.J. Peak,33,25.3,7.9,2.3,1,0.8,0.4,1.3,0.394,0.701,0.246,C,0,77,215
Pittsburgh,2013,20,Lamar Patterson,33,27,10,4.3,2.8,1.2,0.3,1.8,0.464,0.656,0.336,SG,0,77,212
Arizona,2011,17,Lamont Jones,38,26,9.7,1.6,2.4,0.6,0,1.9,0.418,0.828,0.316,G,0,72,196
Vanderbilt,2011,25,Lance Goulbourne,32,25,6.9,7.3,1.3,0.6,0.5,1.5,0.422,0.708,0.276,PG,0,80,230
Vanderbilt,2012,20,Lance Goulbourne,36,27.9,8.7,6.9,1.2,1.5,0.7,1.9,0.456,0.68,0.309,PG,0,80,230
Ohio State,2014,22,LaQuinton Ross,35,29,15.2,5.9,0.8,0.7,0.6,1.7,0.447,0.732,0.353,F,0,80,220
North Carolina,2011,7,Larry Drew II,21,22.8,4.4,2.3,3.9,1.1,0,1.8,0.384,0.677,0.207,G,0,74,180
UCLA,2013,24,Larry Drew II,35,35.5,7.5,2.4,7.3,1.4,0.2,2.5,0.446,0.609,0.433,G,0,74,180
Connecticut,2014,18,Lasan Kromah,40,22.4,6.1,2.7,1.2,1.1,0.4,1.3,0.435,0.689,0.339,G,0,78,201
Oklahoma State,2013,17,Le'Bryan Nash,31,31.7,17.2,5.7,2,0.8,0.9,3.2,0.462,0.791,0.1,F,0,79,235
Ohio State,2012,7,Lenzelle Smith Jr.,39,25.4,6.8,4.6,2,0.9,0.1,1.2,0.473,0.626,0.378,G,0,76,210
Ohio State,2013,7,Lenzelle Smith Jr.,37,27.4,9.2,4.8,1.5,0.5,0.1,1.2,0.43,0.687,0.374,G,0,76,210
Ohio State,2014,22,Lenzelle Smith Jr.,35,28.8,11,5.1,1.5,0.8,0.1,1,0.426,0.755,0.331,G,0,76,210
North Carolina,2014,19,Leslie McDonald,25,27.1,10.4,2,1.5,0.4,0.1,1.1,0.386,0.621,0.312,G,0,77,215
Baylor,2015,16,Lester Medford,34,29.6,7.6,1.4,3.1,1.5,0.1,1.7,0.393,0.621,0.385,G,0,70,175
Purdue,2011,13,Lewis Jackson,34,26.2,8,3.2,4,0.8,0.1,1.9,0.503,0.716,0.3,G,0,69,165
Virginia,2014,3,London Perrantes,37,29.9,5.5,2.2,3.8,0.9,0.1,1.1,0.384,0.86,0.437,G,0,74,191
